;x;Species_Name;Family;Subfamily;Tribe;Genus;Species;Antenna
57;Vilga_westwoodi_CMF_1050;Vilga_westwoodi;Coreidae;Pseudophloeinae;Pseudophloeini;Vilga;westwoodi;Straight
58;Clavigralla_elongata_CMF_0944;Clavigralla_elongata;Coreidae;Pseudophloeinae;Clavigrallini;Clavigralla;elongata;Straight
59;Clavigralla_minor_CMF_0334;Clavigralla_minor;Coreidae;Pseudophloeinae;Clavigrallini;Clavigralla;minor;No_data
60;Clavigralla_shadabi_CMF_0056;Clavigralla_pusilla;Coreidae;Pseudophloeinae;Clavigrallini;Clavigralla;pusilla;Straight
61;Clavigralla_pusilla_CMF_0952_0960;Clavigralla_shadabi;Coreidae;Pseudophloeinae;Clavigrallini;Clavigralla;shadabi;Straight
63;Clavigralloides_acantharis_CMF_0797;Clavigralloides_acantharis;Coreidae;Pseudophloeinae;Clavigrallini;Clavigralloides;acantharis;Straight
64;Gralliclava_horrens_CMF_1165;Gralliclava_horrens;Coreidae;Pseudophloeinae;Clavigrallini;Gralliclava;horrens;Straight
66;Leptocorisa_acuta_CMF_0645;Leptocorisa_acuta;Alydidae;Micrelytrinae;Leptocorisini;Leptocorisa;acuta;Straight
67;Leptocorisa_bipunctata_CMF_0896;Leptocorisa_bipunctata;Alydidae;Micrelytrinae;Leptocorisini;Leptocorisa;bipunctata;Straight
68;Stenocoris_filiformis_CMF_0758;Stenocoris_filiformis;Alydidae;Micrelytrinae;Leptocorisini;Stenocoris;filiformis;Straight
69;Stenocoris_furcifera_CMF_0879;Stenocoris_furcifera;Alydidae;Micrelytrinae;Leptocorisini;Stenocoris;furcifera;Straight
71;Stenocoris_tipuloides_CMF_0174;Stenocoris_tipuloides;Alydidae;Micrelytrinae;Leptocorisini;Stenocoris;tipuloides;Straight
72;Mutusca_brevicornis_CMF_0417;Mutusca_brevicornis;Alydidae;Micrelytrinae;Leptocorisini;Mutusca;brevicornis;Straight
74;Hydara_tenuicornis_CMF_0040;Hydara_tenuicornis;Coreidae;Hydarinae;;Hydara;tenuicornis;Straight
75;Hydarella_chiangdaoensis_CMF_1129;Hydarella_chiangdaoensis;Coreidae;Hydarinae;;Hydarella;chiangdaoensis;Straight
76;Hydaropsis_longirostris_CMF_0817;Hydaropsis_longirostris;Coreidae;Hydarinae;;Hydaropsis;longirostris;Straight
77;Madura_fuscoclavata_CMF_1078;Madura_fuscoclavata;Coreidae;Hydarinae;;Madura;fuscoclavata;Expansion
78;Maduranoides_chemsaki_CMF_1017;Maduranoides_chemsaki;Coreidae;Hydarinae;;Maduranoides;chemsaki;Expansion
79;Halyomorpha_halys_halhal1;Halyomorpha_halys;Pentatomidae;Pentatominae;Cappaeini;Halyomorpha;halys;Straight
80;Dysdercus_suturellus_CMF_0305;Dysdercus_mimus;Pyrrhocoridae;;;Dysdercus;mimus;Straight
81;Dysdercus_mimus_CMF_0110;Dysdercus_suturellus;Pyrrhocoridae;;;Dysdercus;suturellus;Straight
83;Oncopeltus_fasciatus_oncfas1;Oncopeltus_fasciatus;Lygaeidae;Lygaeinae;Lygaeini;Oncopeltus;fasciatus;Straight
85;Harmostes_serratus_CMF_0401;Harmostes_serratus;Rhopalidae;Rhopalinae;Harmostini;Harmostes;serratus;Straight
86;Jadera_haematoloma_CMF_0281;Jadera_haematoloma;Rhopalidae;Serinethinae;;Jadera;haematoloma;Straight
87;Grammopoecilus_angustatus_CMF_0839;Grammopoecilus_angustatus;Coreidae;Coreinae;Nematopodini;Grammopoecilus;angustatus;Straight
88;Nematopus_lepidus_CMF_0071;Nematopus_lepidus;Coreidae;Coreinae;Nematopodini;Nematopus;lepidus;Straight
89;Lycambes_sargi_CMF_0049;Lycambes_sargi;Coreidae;Meropachyinae;Spathophorini;Lycambes;sargi;Straight
90;Mozena_lineolata_CMF_0026;Mozena_lineolata (lunata);Coreidae;Coreinae;Nematopodini;Mozena;lineolata (lunata);Straight
91;Mozena_lurida_CMF_0050;Mozena_lurida;Coreidae;Coreinae;Nematopodini;Mozena;lurida;Straight
92;Piezogaster_calcarator_CMF_0877;Piezogaster_calcarator;Coreidae;Coreinae;Nematopodini;Piezogaster;calcarator;Straight
93;Ouranion_serrulatus_CMF_0337;Ouranion_serrulatus;Coreidae;Coreinae;Nematopodini;Ouranion;serrulatus;Straight
94;Melucha_quadrivittis_CMF_0157;Melucha_quadrivittis;Coreidae;Coreinae;Nematopodini;Melucha;quadrivittis;Straight
95;Thasus_neocalifornicus_CMF_0190;Pachylis_neocalifornicus;Coreidae;Coreinae;Nematopodini;Pachylis;neocalifornicus;Expansion
97;Agriopocoris_chadwicki_CMF_1143;Agriopocoris_chadwicki;Coreidae;Coreinae;Agriopocorini;Agriopocoris;chadwicki;Straight
98;Agriopocoris_froggatti_CMF_1144;Agriopocoris_froggatti;Coreidae;Coreinae;Agriopocorini;Agriopocoris;froggatti;Straight
99;Agriopocostella_regulosa_CMF_1154;Agriopocostella_regulosa;Coreidae;Coreinae;Agriopocorini;Agriopocostella;regulosa;No_data
100;Tylocryptus_egenus_CMF_1142;Tylocryptus_egenus;Coreidae;Coreinae;Agriopocorini;Tylocryptus;egenus;Straight
102;Typhlocolpura_chinai_CMF_0006;Typhlocolpura_chinai;Coreidae;Coreinae;Colpurini;Typhlocolpura;chinai;Straight
103;Homalocolpura_parrilloi_CMF_0609;Homalocolpura_parrilloi;Coreidae;Coreinae;Colpurini;Homalocolpura;parrilloi;No_data
104;Amorbus_alternatus_CMF_1086;Amorbus_alternatus;Coreidae;Coreinae;Amorbini;Amorbus;alternatus;Straight
106;Gelonus_tasmanicus_CMF_1152;Gelonus_tasmanicus;Coreidae;Coreinae;Amorbini;Gelonus;tasmanicus;Straight
107;Anoplocnemis_curvipes_CMF_0332;Anoplocnemis_curvipes;Coreidae;Coreinae;Mictini;Anoplocnemis;curvipes;Straight
108;Anoplocnemis_phasiana_CMF_0761;Anoplocnemis_phasiana;Coreidae;Coreinae;Mictini;Anoplocnemis;phasiana;Straight
111;Elasmopoda_sp_CMF_0333;Elasmopoda_alata;Coreidae;Coreinae;Mictini;Elasmopoda;alata;Straight
113;Plectropoda_cruciata_CMF_0037;Plectropoda_cruciata;Coreidae;Coreinae;Mictini;Plectropoda;cruciata;Straight
115;Mygdonia_tuberculosa_CMF_0053;Mygdonia_tuberculosa;Coreidae;Coreinae;Mictini;Mygdonia;tuberculosa;Straight
116;Plectropodoides_dallastai_CMF_0854;Plectropodoides_dallastai;Coreidae;Coreinae;Mictini;Plectropodoides;dallastai;No_data
117;Dianomictis_expansa_CMF_0684;Dianomictis_expansa;Coreidae;Coreinae;Mictini;Dianomictis;expansa;Straight
118;Molipteryx_lunata_CMF_0818;Molipteryx_lunata;Coreidae;Coreinae;Mictini;Molipteryx;lunata;Straight
119;Prionolomia_yunnanensis_CMF_0554;Prionolomia_yunnanensis;Coreidae;Coreinae;Mictini;Prionolomia;yunnanensis;Straight
120;Mictis_longicornis_CMF_0184;Mictis_longicornis;Coreidae;Coreinae;Mictini;Mictis;longicornis;Straight
121;Pternistria_bispina_CMF_0698;Pternistria_bispina;Coreidae;Coreinae;Mictini;Pternistria;bispina;Straight
122;Mictis_profana_CMF_0412;Mictis_profana;Coreidae;Coreinae;Mictini;Mictis;profana;Straight
123;Cloresmus_antennatus_CMF_0634;Cloresmus_antennatus;Coreidae;Coreinae;Cloresmini;Cloresmus;antennatus;Straight
125;Notobitus_nr_affinis_CMF_0530;Notobitus_affinis;Coreidae;Coreinae;Cloresmini;Notobitus;affinis;No_data
126;Notobitus_sexguttatus_CMF_0747;Notobitus_sexguttatus;Coreidae;Coreinae;Cloresmini;Notobitus;sexguttatus;Straight
127;Notobitus_meleagris_CMF_0529;Notobitus_meleagris;Coreidae;Coreinae;Cloresmini;Notobitus;meleagris;Straight
128;Dalader_planiventris_CMF_0737;Dalader_planiventris;Coreidae;Coreinae;Daladerini;Dalader;planiventris;Expansion
129;Latimbus_concolor_CMF_0827;Latimbus_concolor;Coreidae;Coreinae;Latimbini;Latimbus;concolor;Straight
130;Latimbus_refulgens_CMF_0650;Latimbus_refulgens;Coreidae;Coreinae;Latimbini;Latimbus;refulgens;No_data
131;Odontocurtus_consociatus_CMF_0694;Odontocurtus_consociatus;Coreidae;Coreinae;Daladerini;Odontocurtus;consociatus;No_data
132;Odontorhopala_callosa_CMF_0697;Odontorhopala_callosa;Coreidae;Coreinae;Daladerini;Odontorhopala;callosa;Straight
133;Cletoliturus_lituripennis_CMF_0709;Cletoliturus_lituripennis;Coreidae;Coreinae;Gonocerini;Cletoliturus;lituripennis;Straight
134;Cletomorpha_benita_CMF_0820;Cletomorpha_benita;Coreidae;Coreinae;Gonocerini;Cletomorpha;benita;Straight
135;Cletomorpha_nyasana_CMF_0748;Cletomorpha_nyasana;Coreidae;Coreinae;Gonocerini;Cletomorpha;nyasana;Straight
136;Cletus_binotulatus_CMF_0767;Cletus_binotulatus;Coreidae;Coreinae;Gonocerini;Cletus;binotulatus;Straight
137;Cletus_ochraceus_CMF_0152;Cletus_ochraceus;Coreidae;Coreinae;Gonocerini;Cletus;ochraceus;Straight
139;Coreus_marginatus_CMF_0793;Coreus_marginatus;Coreidae;Coreinae;Coreini;Coreus;marginatus;Straight
140;Pephricus_paradoxus_CMF_0730;Pephricus_paradoxus;Coreidae;Coreinae;Phyllomorphini;Pephricus;paradoxus;Straight
141;Tongorma_latreillii_CMF_0735;Tongorma_latreillii;Coreidae;Coreinae;Phyllomorphini;Tongorma;latreillii;Straight
142;Haidara_producta_CMF_0824;Haidara_producta;Coreidae;Coreinae;Coreini;Haidara;producta;Straight
143;Prionotylus_brevicornis_CMF_0916;Prionotylus_brevicornis;Coreidae;Coreinae;Prionotylini;Prionotylus;brevicornis;Straight
144;Fracastorius_cornutus_CMF_0531;Fracastorius_cornutus;Coreidae;Coreinae;Homoeocerini;Fracastorius;cornutus;Straight
145;Homoeocerus_marginellus_CMF_0327;Homoeocerus_angulatus;Coreidae;Coreinae;Homoeocerini;Homoeocerus;angulatus;Straight
146;Homoeocerus_angulatus_CMF_0759;Homoeocerus_bipustulatus;Coreidae;Coreinae;Homoeocerini;Homoeocerus;bipustulatus;Straight
147;Homoeocerus_bipustulatus_CMF_0093;Homoeocerus_marginellus;Coreidae;Coreinae;Homoeocerini;Homoeocerus;marginellus;Straight
148;Prismatocerus_auriculatus_CMF_0734;Prismatocerus_auriculatus;Coreidae;Coreinae;Homoeocerini;Prismatocerus;auriculatus;Straight
149;Galaesus_hasticornis_CMF_0701;Galaesus_hasticornis;Coreidae;Coreinae;Dasynini;Galaesus;hasticornis;Expansion
150;Manocoreus_yunnanensis_CMF_1133;Manocoreus_yunnanensis;Coreidae;Coreinae;Manocoreini;Manocoreus;yunnanensis;Straight
151;Althos_obscurator_CMF_0870;Althos_obscurator;Coreidae;Coreinae;Hypselonotini;Althos;obscurator;Straight
152;Vazquezitocoris_repletus_CMF_0851;Vazquezitocoris_repletus;Coreidae;Coreinae;Hypselonotini;Vazquezitocoris;repletus;Straight
153;Catorhintha_guttula_CMF_0102;Catorhintha_guttula;Coreidae;Coreinae;Hypselonotini;Catorhintha;guttula;Straight
154;Catorhintha_texana_CMF_0070;Catorhintha_texana;Coreidae;Coreinae;Hypselonotini;Catorhintha;texana;Straight
155;Scolopocerus_secundarius_CMF_0808;Scolopocerus_secundarius;Coreidae;Coreinae;Hypselonotini;Scolopocerus;secundarius;Straight
156;Villasitocoris_inconspicuus_CMF_0822;Villasitocoris_inconspicuus;Coreidae;Coreinae;Hypselonotini;Villasitocoris;inconspicuus;Straight
158;Crinocerus_sanctus_CMF_0860;Crinocerus_sanctus;Coreidae;Coreinae;Acanthocerini;Crinocerus;sanctus;Straight
159;Euthochtha_galeator_CMF_0162;Euthochtha_galeator;Coreidae;Coreinae;Acanthocerini;Euthochtha;galeator;Straight
160;Acanthocerus_crucifer_CMF_0541;Acanthocerus_cruciger;Coreidae;Coreinae;Acanthocerini;Acanthocerus;cruciger;Straight
161;Camptischium_clavipes_CMF_0548;Camptischium_clavipes;Coreidae;Coreinae;Acanthocerini;Camptischium;clavipes;Straight
162;Zoreva_lacerna_CMF_0813;Zoreva_lacerna;Coreidae;Coreinae;Acanthocerini;Zoreva;lacerna;Straight
163;Zoreva_lobulata_CMF_0549;Zoreva_lobulata;Coreidae;Coreinae;Acanthocerini;Zoreva;lobulata;Straight
164;Chariesterus_antennator_CMF_0103;Chariesterus_antennator;Coreidae;Coreinae;Chariesterini;Chariesterus;antennator;Expansion
165;Chariesterus_armatus_CMF_0744;Chariesterus_armatus;Coreidae;Coreinae;Chariesterini;Chariesterus;armatus;Expansion
166;Plapigus_abdominalis_CMF_0002;Plapigus_abdominalis;Coreidae;Coreinae;Chariesterini;Plapigus;abdominalis;Expansion
167;Hypselonotus_bitrianguliger_CMF_0073;Hypselonotus_bitrianguliger;Coreidae;Coreinae;Hypselonotini;Hypselonotus;bitrianguliger;Straight
168;Hypselonotus_fulvus_CMF_0145;Hypselonotus_fulvus;Coreidae;Coreinae;Hypselonotini;Hypselonotus;fulvus;Straight
169;Hypselonotus_lineatus_CMF_0027;Hypselonotus_lineatus;Coreidae;Coreinae;Hypselonotini;Hypselonotus;lineatus;Straight
170;Hypselonotus_punctiventris_CMF_0784;Hypselonotus_punctiventris;Coreidae;Coreinae;Hypselonotini;Hypselonotus;punctiventris;Straight
171;Merocoris_curtatus_CMF_0821;Merocoris_curtatus;Coreidae;Meropachyinae;Merocorini;Merocoris;curtatus;Straight
172;Merocoris_typhaeus_CMF_0523;Merocoris_elevatus;Coreidae;Meropachyinae;Merocorini;Merocoris;elevatus;Straight
173;Merocoris_elevatus_CMF_0736;Merocoris_typhaeus;Coreidae;Meropachyinae;Merocorini;Merocoris;typhaeus;Straight
174;Cebrenis_danieli_CMF_0158;Cebrenis_danieli;Coreidae;Coreinae;Hypselonotini;Cebrenis;danieli;Straight
175;Zicca_commaculata_CMF_0055;Zicca_commaculata;Coreidae;Coreinae;Hypselonotini;Zicca;commaculata;Straight
176;Zicca_rubricator_CMF_0135;Zicca_rubricator;Coreidae;Coreinae;Hypselonotini;Zicca;rubricator;Straight
177;Zicca_taeniola_CMF_0365;Zicca_taeniola;Coreidae;Coreinae;Hypselonotini;Zicca;taeniola;Straight
178;Leptoglossus_ashmeadi_CMF_0124;Leptoglossus_ashmeadi;Coreidae;Coreinae;Anisoscelini;Leptoglossus;ashmeadi;Straight
179;Leptoglossus_concolor_CMF_0015;Leptoglossus_concolor;Coreidae;Coreinae;Anisoscelini;Leptoglossus;concolor;Straight
180;Leptoglossus_clypealis_CMF_0463;Leptoglossus_clypealis;Coreidae;Coreinae;Anisoscelini;Leptoglossus;clypealis;Straight
181;Leptoglossus_oppositus_CMF_0475;Leptoglossus_oppositus;Coreidae;Coreinae;Anisoscelini;Leptoglossus;oppositus;Straight
182;Leptoglossus_zonatus_CMF_0148;Leptoglossus_zonatus;Coreidae;Coreinae;Anisoscelini;Leptoglossus;zonatus;Straight
183;Leptoglossus_phyllopus_CMF_0107;Leptoglossus_phyllopus;Coreidae;Coreinae;Anisoscelini;Leptoglossus;phyllopus;Straight
184;Leptoglossus_corculus_CMF_0785;Leptoglossus_corculus;Coreidae;Coreinae;Anisoscelini;Leptoglossus;corculus;Straight
185;Leptoglossus_fulvicornis_CMF_0762;Leptoglossus_fulvicornis;Coreidae;Coreinae;Anisoscelini;Leptoglossus;fulvicornis;Straight
186;Leptoglossus_gonagra_FL_CMF_0669;Leptoglossus_gonagra;Coreidae;Coreinae;Anisoscelini;Leptoglossus;gonagra;Straight
187;Phthiacnemia_picta_CMF_0350;Phthiacnemia_picta;Coreidae;Coreinae;Anisoscelini;Phthiacnemia;picta;Straight
188;Narnia_femorata_CMF_0111;Narnia_femorata;Coreidae;Coreinae;Anisoscelini;Narnia;femorata;Straight
189;Narnia_snowi_CMF_0208;Narnia_snowi;Coreidae;Coreinae;Anisoscelini;Narnia;snowi;Straight
190;Leptoscelis_quadrisignatus_CMF_0076;Leptoscelis_quadrisignatus;Coreidae;Coreinae;Anisoscelini;Leptoscelis;quadrisignatus;Straight
191;Leptoscelis_tricolor_CMF_0079;Leptoscelis_tricolor;Coreidae;Coreinae;Anisoscelini;Leptoscelis;tricolor;Straight
192;Anasa_andresii_CMF_0165;Anasa_andresii;Coreidae;Coreinae;Hypselonotini;Anasa;andresii;Straight
193;Anasa_tristis_CMF_0760;Anasa_tristis;Coreidae;Coreinae;Hypselonotini;Anasa;tristis;Straight
194;Paryphes_pulchellus_CMF_0858;Paryphes_pulchellus;Coreidae;Coreinae;Hypselonotini;Paryphes;pulchellus;Straight
