node;age.min;age.max;soft.bounds
246;157.3;166.1;FALSE
241;93.5;99.6;FALSE
242;228;237;FALSE
240;11.608;12.7;FALSE
355;15.97;20.44;FALSE
293;33.9;37.2;FALSE
