",""x""";Species_Name;Family;Subfamily;Tribe;Genus;Species;Antennae;Antennomere_I;Antennomere_II;Antennomere_III;Sum;Reference;
"169,""Hypselonotus_lineatus_CMF_0027""";Hypselonotus_lineatus;Coreidae;Coreinae;Hypselonotini;Hypselonotus;lineatus;1;1;1;1;3;https://www.inaturalist.org/observations/61722683;
"17,""Spartocera_fusca_CMF_0526""";Spartocera_fusca;Coreidae;Coreinae;Spartocerini;Spartocera;fusca;1;1;1;1;3;https://www.inaturalist.org/observations/166350394;
"170,""Hypselonotus_punctiventris_CMF_0784""";Hypselonotus_punctiventris;Coreidae;Coreinae;Hypselonotini;Hypselonotus;punctiventris;1;1;1;1;3;https://www.inaturalist.org/observations/196795341;
"171,""Merocoris_curtatus_CMF_0821""";Merocoris_curtatus;Coreidae;Meropachyinae;Merocorini;Merocoris;curtatus;1;1;1;1;3;https://www.inaturalist.org/observations/177422602;
"172,""Merocoris_typhaeus_CMF_0523""";Merocoris_elevatus;Coreidae;Meropachyinae;Merocorini;Merocoris;elevatus;1;1;1;1;3;https://www.inaturalist.org/observations/153493317;
"173,""Merocoris_elevatus_CMF_0736""";Merocoris_typhaeus;Coreidae;Meropachyinae;Merocorini;Merocoris;typhaeus;1;1;1;1;3;https://www.inaturalist.org/observations/117222424;
"174,""Cebrenis_danieli_CMF_0158""";Cebrenis_danieli;Coreidae;Coreinae;Hypselonotini;Cebrenis;danieli;1;1;1;1;3;https://www.inaturalist.org/observations/5140396;
"175,""Zicca_commaculata_CMF_0055""";Zicca_commaculata;Coreidae;Coreinae;Hypselonotini;Zicca;commaculata;1;1;1;1;3;https://www.inaturalist.org/observations/105730293;
"176,""Zicca_rubricator_CMF_0135""";Zicca_rubricator;Coreidae;Coreinae;Hypselonotini;Zicca;rubricator;1;1;1;1;3;https://www.inaturalist.org/observations/41311124;
"177,""Zicca_taeniola_CMF_0365""";Zicca_taeniola;Coreidae;Coreinae;Hypselonotini;Zicca;taeniola;1;1;1;1;3;https://www.inaturalist.org/observations/196180424;
"178,""Leptoglossus_ashmeadi_CMF_0124""";Leptoglossus_ashmeadi;Coreidae;Coreinae;Anisoscelini;Leptoglossus;ashmeadi;1;1;1;1;3;https://www.inaturalist.org/observations/162672108;
"179,""Leptoglossus_concolor_CMF_0015""";Leptoglossus_concolor;Coreidae;Coreinae;Anisoscelini;Leptoglossus;concolor;1;1;1;1;3;https://www.inaturalist.org/observations/4294445;
"18,""Alydus_calcaratus_CMF_0925""";Alydus_calcaratus;Alydidae;Alydinae;;Alydus;calcaratus;1;1;1;1;3;https://www.inaturalist.org/observations/197676030;
"180,""Leptoglossus_clypealis_CMF_0463""";Leptoglossus_clypealis;Coreidae;Coreinae;Anisoscelini;Leptoglossus;clypealis;1;1;1;1;3;https://www.inaturalist.org/observations/209634055;
"181,""Leptoglossus_oppositus_CMF_0475""";Leptoglossus_oppositus;Coreidae;Coreinae;Anisoscelini;Leptoglossus;oppositus;1;1;1;1;3;https://www.inaturalist.org/observations/185352058;
"182,""Leptoglossus_zonatus_CMF_0148""";Leptoglossus_zonatus;Coreidae;Coreinae;Anisoscelini;Leptoglossus;zonatus;1;1;1;1;3;https://www.inaturalist.org/observations/178198289;
"183,""Leptoglossus_phyllopus_CMF_0107""";Leptoglossus_phyllopus;Coreidae;Coreinae;Anisoscelini;Leptoglossus;phyllopus;1;1;1;1;3;https://www.inaturalist.org/observations/185506193;
"184,""Leptoglossus_corculus_CMF_0785""";Leptoglossus_corculus;Coreidae;Coreinae;Anisoscelini;Leptoglossus;corculus;1;1;1;1;3;https://www.inaturalist.org/observations/204863383;
"185,""Leptoglossus_fulvicornis_CMF_0762""";Leptoglossus_fulvicornis;Coreidae;Coreinae;Anisoscelini;Leptoglossus;fulvicornis;1;1;1;1;3;https://www.inaturalist.org/observations/178857611;
"186,""Leptoglossus_gonagra_FL_CMF_0669""";Leptoglossus_gonagra;Coreidae;Coreinae;Anisoscelini;Leptoglossus;gonagra;1;1;1;1;3;https://www.inaturalist.org/observations/200666287;
"187,""Phthiacnemia_picta_CMF_0350""";Phthiacnemia_picta;Coreidae;Coreinae;Anisoscelini;Phthiacnemia;picta;1;1;1;1;3;https://www.inaturalist.org/observations/213453696;
"188,""Narnia_femorata_CMF_0111""";Narnia_femorata;Coreidae;Coreinae;Anisoscelini;Narnia;femorata;1;1;1;1;3;https://www.inaturalist.org/observations/163852411;
"189,""Narnia_snowi_CMF_0208""";Narnia_snowi;Coreidae;Coreinae;Anisoscelini;Narnia;snowi;1;1;1;1;3;https://www.inaturalist.org/observations/152049539;
"19,""Alydus_pilosulus_CMF_0775""";Alydus_pilosulus;Alydidae;Alydinae;;Alydus;pilosulus;1;1;1;1;3;https://www.inaturalist.org/observations/189161604;
"190,""Leptoscelis_quadrisignatus_CMF_0076""";Leptoscelis_quadrisignatus;Coreidae;Coreinae;Anisoscelini;Leptoscelis;quadrisignatus;1;1;1;1;3;https://www.inaturalist.org/observations/155244365;
"191,""Leptoscelis_tricolor_CMF_0079""";Leptoscelis_tricolor;Coreidae;Coreinae;Anisoscelini;Leptoscelis;tricolor;1;1;1;1;3;https://www.inaturalist.org/observations/187320523;
"192,""Anasa_andresii_CMF_0165""";Anasa_andresii;Coreidae;Coreinae;Hypselonotini;Anasa;andresii;1;1;1;1;3;https://www.inaturalist.org/observations/133156853;
"193,""Anasa_tristis_CMF_0760""";Anasa_tristis;Coreidae;Coreinae;Hypselonotini;Anasa;tristis;1;1;1;1;3;https://www.inaturalist.org/observations/184326293;
"194,""Paryphes_pulchellus_CMF_0858""";Paryphes_pulchellus;Coreidae;Coreinae;Hypselonotini;Paryphes;pulchellus;1;1;1;1;3;https://www.inaturalist.org/photos/5543366;http://publication.nhmus.hu/pdf/annHNHM/Annals_HNHM_1913_Vol_11_344.pdf
"195,""Anasa_bellator_CMF_0316""";Anasa_bellator;Coreidae;Coreinae;Hypselonotini;Anasa;bellator;1;1;1;1;3;https://www.inaturalist.org/observations/63583353;
"196,""Anasa_varicornis_CMF_0005""";Anasa_varicornis;Coreidae;Coreinae;Hypselonotini;Anasa;varicornis;1;1;1;1;3;https://www.inaturalist.org/observations/130191347;
"197,""Anasa_scorbutica_CMF_0169""";Anasa_scorbutica;Coreidae;Coreinae;Hypselonotini;Anasa;scorbutica;1;1;1;1;3;https://www.inaturalist.org/taxa/330102-Anasa-scorbutica;
"198,""Anisoscelis_alipes_CMF_0018""";Anisoscelis_alipes;Coreidae;Coreinae;Anisoscelini;Anisoscelis;alipes;1;1;1;1;3;https://www.inaturalist.org/observations/194197443;
"199,""Anisoscelis_gradadius_CMF_0137""";Anisoscelis_gradadius;Coreidae;Coreinae;Anisoscelini;Anisoscelis;gradadius;1;1;1;1;3;https://www.inaturalist.org/observations/141016000;
"2,""Acanthocephala_declivis_CMF_0069""";Acanthocephala_declivis;Coreidae;Coreinae;Acanthocephalini;Acanthocephala;declivis;1;1;1;1;3;https://www.inaturalist.org/observations/218493869;
"20,""Burtinus_luteomarginatus_CMF_0901""";Burtinus_luteomarginatus;Alydidae;Alydinae;;Burtinus;luteomarginatus;1;1;1;1;3;https://www.inaturalist.org/observations/202909875;
"200,""Chondrocera_laticornis_CMF_0662""";Chondrocera_laticornis;Coreidae;Coreinae;Anisoscelini;Chondrocera;laticornis;2;1;2;2;5;https://www.inaturalist.org/observations/206491027;
"201,""Holhymenia_sp_CMF_0051""";Holhymenia_sp.;Coreidae;Coreinae;Anisoscelini;Holhymenia;sp.;0;0;0;0;0;NA;
"202,""Holhymenia_tibialis_CMF_0801""";Holhymenia_tibialis / clavigera;Coreidae;Coreinae;Anisoscelini;Holhymenia;tibialis / clavigera;2;1;2;2;5;https://www.inaturalist.org/observations/103555867;
"203,""Chelinidea_tabulata_CMF_0233""";Chelinidea_tabulata;Coreidae;Coreinae;Chelinideini;Chelinidea;tabulata;2;2;2;2;6;https://www.inaturalist.org/observations/157775874;
"204,""Chelinidea_vittiger_CMF_0220""";Chelinidea_vittiger;Coreidae;Coreinae;Chelinideini;Chelinidea;vittiger;2;2;2;2;6;https://www.inaturalist.org/observations/200576794;
"205,""Plaxiscelis_limbata_CMF_0072""";Plaxiscelis_limbata;Coreidae;Coreinae;Placoscelini;Plaxiscelis;limbata;1;1;1;1;3;https://www.inaturalist.org/observations/70875548;
"206,""Stenoeurilla_aenescens_CMF_0083""";Stenoeurilla_aenescens;Coreidae;Coreinae;Placoscelini;Stenoeurilla;aenescens;1;1;1;1;3;https://www.inaturalist.org/observations/16092790;
"207,""Stenoeurilla_mesoamericana_CMF_0402""";Stenoeurilla_mesoamericana;Coreidae;Coreinae;Placoscelini;Stenoeurilla;mesoamericana;1;1;1;1;3;https://www.inaturalist.org/observations/199127843;
"208,""Laminiceps_vergarae_CMF_0800""";Laminiceps_vergarae;Coreidae;Coreinae;Acanthocephalini;Laminiceps;vergarae;1;1;1;1;3;https://www.inaturalist.org/observations/39314088;
"209,""Petalops_distinctus_CMF_0810""";Petalops_distinctus;Coreidae;Coreinae;Acanthocephalini;Petalops;distinctus;1;1;1;1;3;https://www.inaturalist.org/observations/4352845;
"21,""Neomegalotomus_rufipes_CMF_0098""";Neomegalotomus_rufipes;Alydidae;Alydinae;;Neomegalotomus;rufipes;1;1;1;1;3;https://www.inaturalist.org/observations/37080453;
"210,""Stenometapodus_ambiguus_CMF_0845""";Stenometapodus_ambiguus;Coreidae;Coreinae;Acanthocephalini;Stenometapodus;ambiguus;1;1;1;1;3;https://www.inaturalist.org/observations/35671604;
"211,""Stenometapodus_v_luteum_CMF_0844""";Stenometapodus_v-luteum;Coreidae;Coreinae;Acanthocephalini;Stenometapodus;v-luteum;1;1;1;1;3;https://www.inaturalist.org/observations/28845875;
"212,""Zygometapodus_castaneus_CMF_0798""";Zygometapodus_castaneus;Coreidae;Coreinae;Acanthocephalini;Zygometapodus;castaneus;1;1;1;1;3;https://www.inaturalist.org/observations/20491192;
"213,""Acanthocephala_thomasi_CMF_0028""";Acanthocephala_thomasi;Coreidae;Coreinae;Acanthocephalini;Acanthocephala;thomasi;1;1;1;1;3;https://www.inaturalist.org/observations/210350405;
"22,""Apidaurus_conspersus_CMF_0900""";Apidaurus_conspersus;Alydidae;Alydinae;;Apidaurus;conspersus;1;1;1;1;3;https://www.inaturalist.org/observations/101171421;
"23,""Camptopus_lateralis_CMF_0929""";Camptopus_lateralis;Alydidae;Alydinae;;Camptopus;lateralis;1;1;1;1;3;https://www.inaturalist.org/observations/189256411;
"24,""Hamedius_incarnatus_CMF_0414""";Hamedius_incarnatus;Alydidae;Alydinae;;Hamedius;incarnatus;1;1;1;1;3;https://www.inaturalist.org/observations/186665300;
"25,""Riptortus_pedestris_CMF_0878""";Riptortus_pedestris;Alydidae;Alydinae;;Riptortus;pedestris;1;1;1;1;3;https://www.inaturalist.org/observations/180226937;
"26,""Riptortus_sp_CMF_0404""";Riptortus_sp.;Alydidae;Alydinae;;Riptortus;sp.;0;0;0;0;0;NA;
"27,""Heegeria_tangirica_CMF_0961""";Heegeria_tangirica;Alydidae;Alydinae;;Heegeria;tangirica;1;1;1;1;3;https://www.inaturalist.org/observations/201113978;
"28,""Nariscus_sp_CMF_0908""";Nariscus_sp.;Alydidae;Alydinae;;Nariscus;sp.;0;0;0;0;0;NA;
"29,""Melanacanthus_margineguttatus_CMF_0418""";Melanacanthus_margineguttatus;Alydidae;Alydinae;;Melanacanthus;margineguttatus;1;1;1;1;3;https://www.inaturalist.org/observations/65147961;
"3,""Acanthocephala_terminalis_CMF_0123""";Acanthocephala_terminalis;Coreidae;Coreinae;Acanthocephalini;Acanthocephala;terminalis;1;1;1;1;3;https://www.inaturalist.org/observations/218680486;
"30,""Melanacanthus_sp_CMF_0416""";Melanacanthus_sp.;Alydidae;Alydinae;;Melanacanthus;sp.;0;0;0;0;0;NA;
"31,""Melanacanthus_scutellaris_CMF_0420""";Melanacanthus_scutellaris;Alydidae;Alydinae;;Melanacanthus;scutellaris;1;1;1;1;3;https://www.inaturalist.org/observations/206205337;
"32,""Tenosius_sp_CMF_0966""";Tenosius_sp.;Alydidae;Alydinae;;Tenosius;sp.;0;0;0;0;0;NA;
"33,""Hyalymenus_longispinus_CMF_0339""";Hyalymenus_longispinus;Alydidae;Alydinae;;Hyalymenus;longispinus;1;1;1;1;3;https://www.inaturalist.org/observations/133359160;
"34,""Hyalymenus_sp_WTP_CMF_1139""";Hyalymenus_sp.1;Alydidae;Alydinae;;Hyalymenus;sp.1;0;0;0;0;0;NA;
"35,""Hyalymenus_pulcher_CMF_0546""";Hyalymenus_pulcher;Alydidae;Alydinae;;Hyalymenus;pulcher;1;1;1;1;3;https://www.inaturalist.org/observations/195866227;
"36,""Hyalymenus_sp_CMF_0336""";Hyalymenus_sp.2;Alydidae;Alydinae;;Hyalymenus;sp.2;0;0;0;0;0;NA;
"37,""Anoplocerus_luteus_CMF_0989""";Anoplocerus_luteus;Coreidae;Pseudophloeinae;Pseudophloeini;Anoplocerus;luteus;1;1;1;1;3;https://www.inaturalist.org/observations/150818038;
"38,""Arenocoris_waltlii_CMF_0911""";Arenocoris_waltlii;Coreidae;Pseudophloeinae;Pseudophloeini;Arenocoris;waltlii;1;1;1;1;3;https://www.inaturalist.org/observations/203500090;
"39,""Bathysolen_nubilus_CMF_0602""";Bathysolen_nubilus;Coreidae;Pseudophloeinae;Pseudophloeini;Bathysolen;nubilus;1;1;1;1;3;https://www.inaturalist.org/observations/194125366;
"4,""Acanthocephala_femorata_CMF_0032""";Acanthocephala_femorata;Coreidae;Coreinae;Acanthocephalini;Acanthocephala;femorata;1;1;1;1;3;https://www.inaturalist.org/observations/210506093;
"40,""Coriomeris_affinis_CMF_0935""";Coriomeris_affinis;Coreidae;Pseudophloeinae;Pseudophloeini;Coriomeris;affinis;1;1;1;1;3;https://www.inaturalist.org/observations/206484623;
"41,""Coriomeris_denticulatus_CMF_0979""";Coriomeris_nigricornis;Coreidae;Pseudophloeinae;Pseudophloeini;Coriomeris;nigricornis;1;1;1;1;3;https://www.inaturalist.org/observations/5050180;
"42,""Coriomeris_nigricornis_CMF_0560""";Coriomeris_denticulatus;Coreidae;Pseudophloeinae;Pseudophloeini;Coriomeris;denticulatus;1;1;1;1;3;https://www.inaturalist.org/observations/204383675;
"43,""Strobilotoma_typhaecornis_CMF_0923""";Strobilotoma_typhaecornis;Coreidae;Pseudophloeinae;Pseudophloeini;Strobilotoma;typhaecornis;1;1;1;1;3;https://www.inaturalist.org/observations/33790755;
"44,""Ceraleptus_gracilicornis_CMF_0988""";Ceraleptus_gracilicornis;Coreidae;Pseudophloeinae;Pseudophloeini;Ceraleptus;gracilicornis;1;1;1;1;3;https://www.inaturalist.org/observations/167384258;
"45,""Nemocoris_falleni_CMF_0994""";Nemocoris_falleni;Coreidae;Pseudophloeinae;Pseudophloeini;Nemocoris;falleni;1;1;1;1;3;https://www.inaturalist.org/observations/202267670;
