",""x""";Species_Name;Family;Subfamily;Tribe;Genus;Species;Antennae;Antennomere_I;Antennomere_II;Antennomere_III;Sum;Reference;
"72,""Mutusca_brevicornis_CMF_0417""";Mutusca_brevicornis;Alydidae;Micrelytrinae;Leptocorisini;Mutusca;brevicornis;1;1;1;1;3;https://www.inaturalist.org/observations/202038173;
"73,""Micrelytrinae_sp_CMF_0161_STANDARD""";Darmistus_sp.;Alydidae;Micrelytrinae;Micrelytrini;Darmistus;sp.;0;0;0;0;0;NA;
"74,""Hydara_tenuicornis_CMF_0040""";Hydara_tenuicornis;Coreidae;Hydarinae;;Hydara;tenuicornis;1;1;1;1;3;https://www.inaturalist.org/observations/112939188;
"75,""Hydarella_chiangdaoensis_CMF_1129""";Hydarella_chiangdaoensis;Coreidae;Hydarinae;;Hydarella;chiangdaoensis;1;1;1;1;3;https://www.inaturalist.org/observations/189853101;
"76,""Hydaropsis_longirostris_CMF_0817""";Hydaropsis_longirostris;Coreidae;Hydarinae;;Hydaropsis;longirostris;1;1;1;1;3;http://coreoidea.speciesfile.org/Common/basic/ShowImage.aspx?TaxonNameID=1187099&ImageID=179281;
"77,""Madura_fuscoclavata_CMF_1078""";Madura_fuscoclavata;Coreidae;Hydarinae;;Madura;fuscoclavata;1;1;1;1;3;https://www.inaturalist.org/observations/196369636;
"78,""Maduranoides_chemsaki_CMF_1017""";Maduranoides_chemsaki;Coreidae;Hydarinae;;Maduranoides;chemsaki;1;1;1;1;3;https://www.inaturalist.org/observations/115415959;
"79,""Halyomorpha_halys_halhal1""";Halyomorpha_halys;Pentatomidae;Pentatominae;Cappaeini;Halyomorpha;halys;1;1;1;1;3;https://www.inaturalist.org/observations/195445295;
"8,""Acanthocoris_sp_CMF_0766""";Acanthocoris_sp.2;Coreidae;Coreinae;Acanthocorini;Acanthocoris;sp.2;0;0;0;0;0;NA;
"80,""Dysdercus_suturellus_CMF_0305""";Dysdercus_mimus;Pyrrhocoridae;;;Dysdercus;mimus;1;1;1;1;3;https://www.inaturalist.org/observations/200865495;
"81,""Dysdercus_mimus_CMF_0110""";Dysdercus_suturellus;Pyrrhocoridae;;;Dysdercus;suturellus;1;1;1;1;3;https://www.inaturalist.org/observations/90339616;
"82,""Largus_sp_CMF_0230""";Largus_sp.;Largidae;Larginae;Largini;Largus;sp.;0;0;0;0;0;NA;
"83,""Oncopeltus_fasciatus_oncfas1""";Oncopeltus_fasciatus;Lygaeidae;Lygaeinae;Lygaeini;Oncopeltus;fasciatus;1;1;1;1;3;https://www.inaturalist.org/observations/196244215;
"84,""nr_Oedancala_sp_U23""";Oedancala_sp.;Pachygronthidae;Pachygronthinae;Pachygronthini;Oedancala;sp.;0;0;0;0;0;NA;
"85,""Harmostes_serratus_CMF_0401""";Harmostes_serratus;Rhopalidae;Rhopalinae;Harmostini;Harmostes;serratus;1;1;1;1;3;https://www.inaturalist.org/observations/166914795;
"86,""Jadera_haematoloma_CMF_0281""";Jadera_haematoloma;Rhopalidae;Serinethinae;;Jadera;haematoloma;1;1;1;1;3;https://www.inaturalist.org/observations/213561843;
"87,""Grammopoecilus_angustatus_CMF_0839""";Grammopoecilus_angustatus;Coreidae;Coreinae;Nematopodini;Grammopoecilus;angustatus;1;1;1;1;3;https://www.inaturalist.org/observations/146988600;
"88,""Nematopus_lepidus_CMF_0071""";Nematopus_lepidus;Coreidae;Coreinae;Nematopodini;Nematopus;lepidus;1;1;1;1;3;https://www.inaturalist.org/observations/33992449;
"89,""Lycambes_sargi_CMF_0049""";Lycambes_sargi;Coreidae;Meropachyinae;Spathophorini;Lycambes;sargi;1;1;1;1;3;https://www.inaturalist.org/observations/144444175;
"9,""Acanthocoris_sp_CMF_0054""";Acanthocoris_sp.3;Coreidae;Coreinae;Acanthocorini;Acanthocoris;sp.3;0;0;0;0;0;NA;
"90,""Mozena_lineolata_CMF_0026""";Mozena_lineolata (lunata);Coreidae;Coreinae;Nematopodini;Mozena;lineolata (lunata);1;1;1;1;3;https://www.inaturalist.org/observations/162561893;
"91,""Mozena_lurida_CMF_0050""";Mozena_lurida;Coreidae;Coreinae;Nematopodini;Mozena;lurida;1;1;1;1;3;https://www.inaturalist.org/observations/10109737;
"92,""Piezogaster_calcarator_CMF_0877""";Piezogaster_calcarator;Coreidae;Coreinae;Nematopodini;Piezogaster;calcarator;1;1;1;1;3;https://www.inaturalist.org/observations/213406732;
"93,""Ouranion_serrulatus_CMF_0337""";Ouranion_serrulatus;Coreidae;Coreinae;Nematopodini;Ouranion;serrulatus;1;1;1;1;3;https://www.inaturalist.org/observations/101669438;
"94,""Melucha_quadrivittis_CMF_0157""";Melucha_quadrivittis;Coreidae;Coreinae;Nematopodini;Melucha;quadrivittis;1;1;1;1;3;https://www.inaturalist.org/observations/67640985;
"95,""Thasus_neocalifornicus_CMF_0190""";Thasus_neocalifornicus;Coreidae;Coreinae;Nematopodini;Thasus;neocalifornicus;2;1;1;2;4;https://www.inaturalist.org/observations/183126591;
"96,""Thasus_sp_CMF_0292""";Thasus_sp.;Coreidae;Coreinae;Nematopodini;Thasus;sp.;0;0;0;0;0;NA;
"97,""Agriopocoris_chadwicki_CMF_1143""";Agriopocoris_chadwicki;Coreidae;Coreinae;Agriopocorini;Agriopocoris;chadwicki;1;1;1;1;3;https://www.inaturalist.org/observations/152470267;
"98,""Agriopocoris_froggatti_CMF_1144""";Agriopocoris_froggatti;Coreidae;Coreinae;Agriopocorini;Agriopocoris;froggatti;1;1;1;1;3;https://www.inaturalist.org/observations/197106929;
"99,""Agriopocostella_regulosa_CMF_1154""";Agriopocostella_regulosa;Coreidae;Coreinae;Agriopocorini;Agriopocostella;regulosa;0;0;0;0;0;NA;
