Species_name,Family,Subfamily,Tribe,Genus,Species,Antena_Ninfa
Stenocoris_furcifera,Alydidae,Micrelytrinae,Leptocorisini,Stenocoris,furcifera,1
Stenocoris_tipuloides,Alydidae,Micrelytrinae,Leptocorisini,Stenocoris,tipuloides,1
Stenocoris_sp,Alydidae,Micrelytrinae,Leptocorisini,Stenocoris,sp.,1
Micrelytrinae_sp,Alydidae,Micrelytrinae,Micrelytrini,Darmistus,sp.,1
Acanthocephala_alata,Coreidae,Coreinae,Acanthocephalini,Acanthocephala,alata,1
Acanthocephala_declivis,Coreidae,Coreinae,Acanthocephalini,Acanthocephala,declivis,1
Acanthocephala_femorata,Coreidae,Coreinae,Acanthocephalini,Acanthocephala,femorata,1
Acanthocephala_terminalis,Coreidae,Coreinae,Acanthocephalini,Acanthocephala,terminalis,1
Acanthocephala_thomasi,Coreidae,Coreinae,Acanthocephalini,Acanthocephala,thomasi,1
Laminiceps_vergarae,Coreidae,Coreinae,Acanthocephalini,Laminiceps,vergarae,1
Petalops_distinctus,Coreidae,Coreinae,Acanthocephalini,Petalops,distinctus,1
Stenometapodus_ambiguus,Coreidae,Coreinae,Acanthocephalini,Stenometapodus,ambiguus,1
Stenometapodus_v_luteum,Coreidae,Coreinae,Acanthocephalini,Stenometapodus,v-luteum,1
Zygometapodus_castaneus,Coreidae,Coreinae,Acanthocephalini,Zygometapodus,castaneus,1
Acanthocerus_crucifer,Coreidae,Coreinae,Acanthocerini,Acanthocerus,cruciger,2
Athaumastus_subterlineatus,Coreidae,Coreinae,Acanthocerini,Athaumastus,sp.,2
Camptischium_clavipes,Coreidae,Coreinae,Acanthocerini,Camptischium,clavipes,2
Crinocerus_sanctus,Coreidae,Coreinae,Acanthocerini,Crinocerus,sanctus,0
Euthochtha_galeator,Coreidae,Coreinae,Acanthocerini,Euthochtha,galeator,2
Zoreva_lacerna,Coreidae,Coreinae,Acanthocerini,Zoreva,lacerna,2
Zoreva_lobulata,Coreidae,Coreinae,Acanthocerini,Zoreva,lobulata,2
Acanthocoris_scaber,Coreidae,Coreinae,Acanthocorini,Acanthocoris,scaber,1
Acanthocoris_sordidus,Coreidae,Coreinae,Acanthocorini,Acanthocoris,sordidus,1
Acanthocoris_sp1,Coreidae,Coreinae,Acanthocorini,Acanthocoris,sp.1,1
Acanthocoris_sp2,Coreidae,Coreinae,Acanthocorini,Acanthocoris,sp.2,1
Acanthocoris_sp3,Coreidae,Coreinae,Acanthocorini,Acanthocoris,sp.3,1
Choerommatus_angusticollis,Coreidae,Coreinae,Acanthocorini,Choerommatus,angusticollis,0
Physomerus_grossipes,Coreidae,Coreinae,Acanthocorini,Physomerus,grossipes,1
Rhyticoris_terminalis,Coreidae,Coreinae,Acanthocorini,Rhyticoris,terminalis,0
Agriopocoris_chadwicki,Coreidae,Coreinae,Agriopocorini,Agriopocoris,chadwicki,0
Agriopocoris_froggatti,Coreidae,Coreinae,Agriopocorini,Agriopocoris,froggatti,1
Agriopocostella_regulosa,Coreidae,Coreinae,Agriopocorini,Agriopocostella,regulosa,0
Tylocryptus_egenus,Coreidae,Coreinae,Agriopocorini,Tylocryptus,egenus,0
Amorbus_alternatus,Coreidae,Coreinae,Amorbini,Amorbus,alternatus,1
Gelonus_tasmanicus,Coreidae,Coreinae,Amorbini,Gelonus,tasmanicus,1
Mirabilamorbus_n_sp,Coreidae,Coreinae,Amorbini,Mirabilamorbus,sp.,0
Anisoscelis_alipes,Coreidae,Coreinae,Anisoscelini,Anisoscelis,alipes,2
Anisoscelis_gradadius,Coreidae,Coreinae,Anisoscelini,Anisoscelis,gradadius,2
Chondrocera_laticornis,Coreidae,Coreinae,Anisoscelini,Chondrocera,laticornis,3
Holhymenia_sp,Coreidae,Coreinae,Anisoscelini,Holhymenia,sp.,4
Holhymenia_tibialis,Coreidae,Coreinae,Anisoscelini,Holhymenia,tibialis / clavigera,3
Leptoglossus_ashmeadi,Coreidae,Coreinae,Anisoscelini,Leptoglossus,ashmeadi,0
Leptoglossus_clypealis,Coreidae,Coreinae,Anisoscelini,Leptoglossus,clypealis,1
Leptoglossus_concolor,Coreidae,Coreinae,Anisoscelini,Leptoglossus,concolor,1
Leptoglossus_corculus,Coreidae,Coreinae,Anisoscelini,Leptoglossus,corculus,1
Leptoglossus_fulvicornis,Coreidae,Coreinae,Anisoscelini,Leptoglossus,fulvicornis,1
Leptoglossus_gonagra,Coreidae,Coreinae,Anisoscelini,Leptoglossus,gonagra,1
Leptoglossus_oppositus,Coreidae,Coreinae,Anisoscelini,Leptoglossus,oppositus,1
Leptoglossus_phyllopus,Coreidae,Coreinae,Anisoscelini,Leptoglossus,phyllopus,1
Leptoglossus_zonatus,Coreidae,Coreinae,Anisoscelini,Leptoglossus,zonatus,1
Leptoscelis_quadrisignatus,Coreidae,Coreinae,Anisoscelini,Leptoscelis,quadrisignatus,0
Leptoscelis_tricolor,Coreidae,Coreinae,Anisoscelini,Leptoscelis,tricolor,1
Narnia_femorata,Coreidae,Coreinae,Anisoscelini,Narnia,femorata,1
Narnia_snowi,Coreidae,Coreinae,Anisoscelini,Narnia,snowi,1
Phthiacnemia_picta,Coreidae,Coreinae,Anisoscelini,Phthiacnemia,picta,1
Chariesterus_armatus,Coreidae,Coreinae,Chariesterini,Chariesterus,armatus,3
Chariesterus_antennator,Coreidae,Coreinae,Chariesterini,Chariesterus,antennator,4
Plapigus_abdominalis,Coreidae,Coreinae,Chariesterini,Plapigus,abdominalis,0
Chelinidea_tabulata,Coreidae,Coreinae,Chelinideini,Chelinidea,tabulata,3
Chelinidea_vittiger,Coreidae,Coreinae,Chelinideini,Chelinidea,vittiger,3
Cloresmus_antennatus,Coreidae,Coreinae,Cloresmini,Cloresmus,antennatus,0
Cloresmus_sp,Coreidae,Coreinae,Cloresmini,Cloresmus,sp.,1
Notobitus_nr_affinis,Coreidae,Coreinae,Cloresmini,Notobitus,affinis,0
Notobitus_meleagris,Coreidae,Coreinae,Cloresmini,Notobitus,meleagris,1
Notobitus_sexguttatus,Coreidae,Coreinae,Cloresmini,Notobitus,sexguttatus,1
Homalocolpura_parrilloi,Coreidae,Coreinae,Colpurini,Homalocolpura,parrilloi,0
Hygia_sp,Coreidae,Coreinae,Colpurini,Hygia,sp.,1
Typhlocolpura_chinai,Coreidae,Coreinae,Colpurini,Typhlocolpura,chinai,0
Coreus_marginatus,Coreidae,Coreinae,Coreini,Coreus,marginatus,1
Haidara_producta,Coreidae,Coreinae,Coreini,Haidara,producta,0
Dalader_planiventris,Coreidae,Coreinae,Daladerini,Dalader,planiventris,3
Odontocurtus_consociatus,Coreidae,Coreinae,Daladerini,Odontocurtus,consociatus,0
Odontorhopala_callosa,Coreidae,Coreinae,Daladerini,Odontorhopala,callosa,0
Galaesus_hasticornis,Coreidae,Coreinae,Dasynini,Galaesus,hasticornis,3
Cletoliturus_lituripennis,Coreidae,Coreinae,Gonocerini,Cletoliturus,lituripennis,0
Cletomorpha_benita,Coreidae,Coreinae,Gonocerini,Cletomorpha,benita,0
Cletomorpha_nyasana,Coreidae,Coreinae,Gonocerini,Cletomorpha,nyasana,0
Cletus_binotulatus,Coreidae,Coreinae,Gonocerini,Cletus,binotulatus,0
Cletus_ochraceus,Coreidae,Coreinae,Gonocerini,Cletus,ochraceus,0
Cletus_sp,Coreidae,Coreinae,Gonocerini,Cletus,sp.,2
Fracastorius_cornutus,Coreidae,Coreinae,Homoeocerini,Fracastorius,cornutus,1
Homoeocerus_angulatus,Coreidae,Coreinae,Homoeocerini,Homoeocerus,angulatus,1
Homoeocerus_bipustulatus,Coreidae,Coreinae,Homoeocerini,Homoeocerus,bipustulatus,1
Homoeocerus_marginellus,Coreidae,Coreinae,Homoeocerini,Homoeocerus,marginellus,1
Prismatocerus_auriculatus,Coreidae,Coreinae,Homoeocerini,Prismatocerus,auriculatus,1
Althos_obscurator,Coreidae,Coreinae,Hypselonotini,Althos,obscurator,1
Anasa_andresii,Coreidae,Coreinae,Hypselonotini,Anasa,andresii,0
Anasa_bellator,Coreidae,Coreinae,Hypselonotini,Anasa,bellator,1
Anasa_scorbutica,Coreidae,Coreinae,Hypselonotini,Anasa,scorbutica,2
Anasa_tristis,Coreidae,Coreinae,Hypselonotini,Anasa,tristis,1
Anasa_varicornis,Coreidae,Coreinae,Hypselonotini,Anasa,varicornis,1
Catorhintha_guttula,Coreidae,Coreinae,Hypselonotini,Catorhintha,guttula,0
Catorhintha_texana,Coreidae,Coreinae,Hypselonotini,Catorhintha,texana,1
Cebrenis_danieli,Coreidae,Coreinae,Hypselonotini,Cebrenis,danieli,0
Hypselonotus_bitrianguliger,Coreidae,Coreinae,Hypselonotini,Hypselonotus,bitrianguliger,1
Hypselonotus_fulvus,Coreidae,Coreinae,Hypselonotini,Hypselonotus,fulvus,1
Hypselonotus_lineatus,Coreidae,Coreinae,Hypselonotini,Hypselonotus,lineatus,1
Hypselonotus_punctiventris,Coreidae,Coreinae,Hypselonotini,Hypselonotus,punctiventris,1
Paryphes_pulchellus,Coreidae,Coreinae,Hypselonotini,Paryphes,pulchellus,0
Scolopocerus_secundarius,Coreidae,Coreinae,Hypselonotini,Scolopocerus,secundarius,1
Vazquezitocoris_repletus,Coreidae,Coreinae,Hypselonotini,Vazquezitocoris,repletus,0
Villasitocoris_inconspicuus,Coreidae,Coreinae,Hypselonotini,Villasitocoris,inconspicuus,0
Zicca_commaculata,Coreidae,Coreinae,Hypselonotini,Zicca,commaculata,0
Zicca_rubricator,Coreidae,Coreinae,Hypselonotini,Zicca,rubricator,0
Zicca_taeniola,Coreidae,Coreinae,Hypselonotini,Zicca,taeniola,0
Latimbus_concolor,Coreidae,Coreinae,Latimbini,Latimbus,concolor,0
Latimbus_refulgens,Coreidae,Coreinae,Latimbini,Latimbus,refulgens,0
Manocoreus_yunnanensis,Coreidae,Coreinae,Manocoreini,Manocoreus,yunnanensis,1
Anoplocnemis_curvipes,Coreidae,Coreinae,Mictini,Anoplocnemis,curvipes,1
Anoplocnemis_phasiana,Coreidae,Coreinae,Mictini,Anoplocnemis,phasiana,1
Anoplocnemis_sp1,Coreidae,Coreinae,Mictini,Anoplocnemis,sp.1,1
Anoplocnemis_sp2,Coreidae,Coreinae,Mictini,Anoplocnemis,sp.2,1
Dianomictis_expansa,Coreidae,Coreinae,Mictini,Dianomictis,expansa,0
Elasmopoda_alata,Coreidae,Coreinae,Mictini,Elasmopoda,alata,1
