Family,Subfamily,Tribe,Genus,Species,Rectilinear,Expanded,Nymph expanded,Link Observation,Link Observation 2,,
Coreidae,Pseudophloeinae,Clavigrallini,Clavigralla,shadabi,1,0,NA,http://coreoidea.speciesfile.org/Common/basic/ShowImage.aspx?TaxonNameID=1186801&ImageID=179494,,,
Coreidae,Pseudophloeinae,Clavigrallini,Clavigralla,sp.,1,0,NA,,,,
Coreidae,Pseudophloeinae,Clavigrallini,Clavigralloides,acantharis,1,0,NA,https://www.inaturalist.org/observations/33681153,,,
Coreidae,Pseudophloeinae,Clavigrallini,Gralliclava,horrens,1,0,NA,https://www.inaturalist.org/observations/71687156,,,
Coreidae,Pseudophloeinae,Clavigrallini,Gralliclava,sp.,1,0,NA,,,,
Coreidae,Pseudophloeinae,Pseudophloeini,Anoplocerus,luteus,1,0,NA,https://www.inaturalist.org/observations/150818038,,,
Coreidae,Pseudophloeinae,Pseudophloeini,Arenocoris,waltlii,1,0,0,https://www.inaturalist.org/observations/203500090,https://www.inaturalist.org/observations/200658088,,
Coreidae,Pseudophloeinae,Pseudophloeini,Bathysolen,nubilus,1,0,NA,https://www.inaturalist.org/observations/194125366,,,
Coreidae,Pseudophloeinae,Pseudophloeini,Ceraleptus,gracilicornis,1,0,NA,https://www.inaturalist.org/observations/167384258,https://www.inaturalist.org/observations/119867942,,
Coreidae,Pseudophloeinae,Pseudophloeini,Ceraleptus,obtusus,1,0,NA,https://www.inaturalist.org/observations/160101278,,,
Coreidae,Pseudophloeinae,Pseudophloeini,Coriomeris,affinis,1,0,NA,https://www.inaturalist.org/observations/206484623,,,
Coreidae,Pseudophloeinae,Pseudophloeini,Coriomeris,denticulatus,1,0,0,https://www.inaturalist.org/observations/204383675,https://www.inaturalist.org/observations/179553328,,
Coreidae,Pseudophloeinae,Pseudophloeini,Coriomeris,nigricornis,1,0,NA,https://www.inaturalist.org/observations/5050180,,,
Coreidae,Pseudophloeinae,Pseudophloeini,Hoplolomia,scabricula,1,0,NA,https://www.inaturalist.org/observations/148368023,https://www.biodiversitylibrary.org/item/45718#page/450/mode/1up,,
Coreidae,Pseudophloeinae,Pseudophloeini,Mevanidea,hystrix,1,0,NA,https://www.inaturalist.org/observations/89345394,,,
Coreidae,Pseudophloeinae,Pseudophloeini,Mevanidea,spiniceps,NA,NA,NA,,,,
Coreidae,Pseudophloeinae,Pseudophloeini,Myla,sp.,1,0,NA,https://www.inaturalist.org/observations/138019046,,,
Coreidae,Pseudophloeinae,Pseudophloeini,Nemocoris,falleni,1,0,NA,https://www.inaturalist.org/observations/202267670,,,
Coreidae,Pseudophloeinae,Pseudophloeini,Paramyla,suspecta,1,0,NA,https://ia601202.us.archive.org/3/items/biostor-144/biostor-144.pdf,,,
Coreidae,Pseudophloeinae,Pseudophloeini,Pseudomyla,cornuta,1,0,NA,https://www.inaturalist.org/observations/180860581,,,
Coreidae,Pseudophloeinae,Pseudophloeini,Psilolomia,brunneofusca,1,0,NA,http://coreoidea.speciesfile.org/Common/basic/ShowImage.aspx?TaxonNameID=1186891&ImageID=227017,,,
Coreidae,Pseudophloeinae,Pseudophloeini,Psilolomia,parva,1,0,NA,http://coreoidea.speciesfile.org/Common/basic/ShowImage.aspx?TaxonNameID=1186898&ImageID=227013,,,
Coreidae,Pseudophloeinae,Pseudophloeini,Strobilotoma,typhaecornis,1,0,0,https://www.inaturalist.org/observations/33790755,https://www.inaturalist.org/observations/65637859,,
Coreidae,Pseudophloeinae,Pseudophloeini,Vilga,dallasi,1,0,NA,https://www.inaturalist.org/observations/138653350,https://www.inaturalist.org/observations/134378232,,
Coreidae,Pseudophloeinae,Pseudophloeini,Vilga,sanctipauli,1,0,NA,http://coreoidea.speciesfile.org/Common/basic/ShowImage.aspx?TaxonNameID=1186869&ImageID=222861,,,
Coreidae,Pseudophloeinae,Pseudophloeini,Vilga,westwoodi,1,0,NA,https://www.inaturalist.org/observations/106535427,,,
Largidae,Larginae,Largini,Largus,sp.,1,0,0,https://www.inaturalist.org/observations/217073733,https://www.inaturalist.org/observations/179925755,,
Lygaeidae,Lygaeinae,Lygaeini,Oncopeltus,fasciatus,1,0,0,https://www.inaturalist.org/observations/196244215,https://www.inaturalist.org/observations/193648431,,
Pachygronthidae,Pachygronthinae,Pachygronthini,Oedancala,sp.,1,0,0,https://www.inaturalist.org/observations/189726558,https://www.inaturalist.org/observations/176215642,,
Pentatomidae,Pentatominae,Cappaeini,Halyomorpha,halys,1,0,0,https://www.inaturalist.org/observations/195445295,https://www.inaturalist.org/observations/197135153,,
Pyrrhocoridae,,,Dysdercus,mimus,1,0,NA,https://www.inaturalist.org/observations/200865495,,,
Pyrrhocoridae,,,Dysdercus,suturellus,1,0,0,https://www.inaturalist.org/observations/90339616,https://www.inaturalist.org/observations/53043391,,
Rhopalidae,Rhopalinae,Harmostini,Harmostes,serratus,1,0,0,https://www.inaturalist.org/observations/166914795,https://www.inaturalist.org/observations/14472954,,
Rhopalidae,Serinethinae,,Jadera,haematoloma,1,0,0,https://www.inaturalist.org/observations/209163184,https://www.inaturalist.org/observations/213387794,,
