Family,Subfamily,Tribe,Genus,Species,Rectilinear,Expanded,Nymph expanded,Link Observation,Link Observation 2,,
Coreidae,Coreinae,Acanthocerini,Camptischium,clavipes,1,0,1,https://www.inaturalist.org/observations/148132832,https://www.inaturalist.org/observations/208699285,,
Coreidae,Coreinae,Acanthocerini,Crinocerus,sanctus,1,0,1,https://www.inaturalist.org/observations/195937367,https://www.inaturalist.org/observations/222606303,https://seb.org.br/admin/files/anais2/ANO%201986%20VOLUME%2015-N01/1986_V15_N1_A1.pdf,
Coreidae,Coreinae,Acanthocerini,Diactor,bilineatus,1,0,1,https://www.inaturalist.org/observations/214849763,https://www.inaturalist.org/observations/176955003,,
Coreidae,Coreinae,Acanthocerini,Euthochtha,galeator,1,0,1,https://www.inaturalist.org/observations/211865530,https://www.inaturalist.org/observations/196802219,https://academic.oup.com/aesa/article-abstract/62/3/469/23658?login=true,https://sci-hub.ru/10.1093/aesa/62.3.469
Coreidae,Coreinae,Acanthocerini,Zoreva,lacerna,1,0,1,https://www.inaturalist.org/observations/106722358,https://www.inaturalist.org/observations/202437536,,
Coreidae,Coreinae,Acanthocerini,Zoreva,lobulata,1,0,1,https://www.inaturalist.org/observations/208284668,https://www.inaturalist.org/observations/202437537,,
Coreidae,Coreinae,Acanthocorini,Acanthocoris,scaber,1,0,0,https://www.inaturalist.org/observations/161076467,https://www.inaturalist.org/observations/134824221,,
Coreidae,Coreinae,Acanthocorini,Acanthocoris,sordidus,1,0,0,,,,
Coreidae,Coreinae,Acanthocorini,Acanthocoris,sp.1,1,0,0,,,,
Coreidae,Coreinae,Acanthocorini,Acanthocoris,sp.2,1,0,0,,,,
Coreidae,Coreinae,Acanthocorini,Acanthocoris,sp.3,1,0,0,,,,
Coreidae,Coreinae,Acanthocorini,Choerommatus,angusticollis,1,0,NA,https://www.inaturalist.org/observations/181981885,,,
Coreidae,Coreinae,Acanthocorini,Physomerus,grossipes,1,0,0,https://www.inaturalist.org/observations/214886894,https://www.inaturalist.org/observations/214401318,,
Coreidae,Coreinae,Acanthocorini,Rhyticoris,terminalis,1,0,NA,https://www.inaturalist.org/observations/99376642,,,
Coreidae,Coreinae,Agriopocorini,Agriopocoris,chadwicki,1,0,NA,https://www.inaturalist.org/observations/152470267,,,
Coreidae,Coreinae,Agriopocorini,Agriopocoris,froggatti,1,0,0,https://www.inaturalist.org/observations/197106929,https://www.inaturalist.org/observations/202005682,,
Coreidae,Coreinae,Agriopocorini,Agriopocostella,regulosa,NA,NA,NA,,,,
Coreidae,Coreinae,Agriopocorini,Tylocryptus,egenus,1,0,NA,https://www.inaturalist.org/observations/64849670,,,
Coreidae,Coreinae,Amorbini,Amorbus,alternatus,1,0,0,https://www.inaturalist.org/observations/202245630,https://www.inaturalist.org/observations/210637697,,
Coreidae,Coreinae,Amorbini,Gelonus,tasmanicus,1,0,0,https://www.inaturalist.org/observations/213673063,https://www.inaturalist.org/observations/201350996,,
Coreidae,Coreinae,Amorbini,Mirabilamorbus,sp.,1,0,NA,https://www.inaturalist.org/observations/38750585,https://bioone.org/journals/journal-of-the-new-york-entomological-society/volume-109/issue-2/0028-7199_2001_109_0206_ANGASO_2.0.CO_2/A-NEW-GENUS-AND-SPECIES-OF-AMORBINI-FROM-AUSTRALIA-HETEROPTERA/10.1664/0028-7199(2001)109[0206:ANGASO]2.0.CO;2.full#i0028-7199-109-2-206-f01,,
